,features
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[523]
17,"[523, 2404]"
18,"[523, 1901, 2023, 2404, 2412]"
19,"[430, 523, 1017, 1882, 1901, 2023, 2404, 2412]"
20,"[0, 430, 523, 1017, 1260, 1741, 1882, 1901, 2023, 2404, 2412]"
21,"[0, 430, 523, 1017, 1208, 1260, 1335, 1741, 1882, 1901, 2023, 2259, 2404, 2412]"
22,"[0, 430, 523, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2159, 2234, 2259, 2360, 2404, 2412, 2417]"
23,"[0, 430, 523, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2159, 2234, 2259, 2360, 2404, 2412, 2417]"
24,"[0, 430, 523, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2037, 2159, 2234, 2259, 2360, 2404, 2412, 2417]"
25,"[0, 430, 523, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2037, 2159, 2234, 2259, 2360, 2404, 2412, 2417]"
26,"[0, 430, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2037, 2159, 2234, 2259, 2360, 2404, 2412, 2417]"
27,"[0, 173, 430, 788, 1017, 1208, 1260, 1335, 1741, 1766, 1862, 1882, 1901, 2023, 2037, 2159, 2205, 2234, 2259, 2360, 2412, 2417]"
28,"[0, 173, 430, 788, 1017, 1208, 1260, 1275, 1335, 1741, 1766, 1862, 1882, 2037, 2159, 2205, 2234, 2259, 2360, 2417]"
29,"[0, 173, 788, 1208, 1260, 1275, 1335, 1369, 1741, 1766, 1862, 2037, 2039, 2041, 2159, 2205, 2234, 2259, 2360, 2386, 2417]"
30,"[156, 173, 788, 1208, 1275, 1335, 1369, 1766, 1862, 1958, 2036, 2037, 2039, 2041, 2159, 2205, 2234, 2259, 2360, 2386, 2388, 2417]"
31,"[156, 173, 788, 1275, 1369, 1394, 1766, 1862, 1958, 2036, 2037, 2039, 2041, 2159, 2205, 2234, 2360, 2386, 2388, 2417, 2418]"
32,"[23, 156, 173, 178, 342, 788, 1275, 1369, 1370, 1394, 1958, 1959, 1994, 2036, 2037, 2038, 2039, 2041, 2195, 2205, 2206, 2386, 2388, 2418]"
33,"[23, 64, 156, 173, 178, 342, 364, 518, 788, 1252, 1275, 1369, 1370, 1394, 1958, 1959, 1994, 2036, 2037, 2038, 2039, 2041, 2095, 2195, 2204, 2205, 2206, 2386, 2388, 2418, 2484]"
