,features
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,"[2176, 2176]"
15,[]
16,[]
17,"[882, 882, 1185, 1720, 1747, 1749, 2017, 2176, 2319, 2319, 2423, 2424, 2426, 2427, 2455]"
18,"[462, 462, 462, 462, 882, 882, 882, 882, 883, 888, 888, 1036, 1036, 1036, 1036, 1036, 1036, 1057, 1166, 1166, 1166, 1166, 1166, 1166, 1166, 1166, 1167, 1167, 1167, 1167, 1167, 1167, 1185, 1185, 1185, 1185, 1185, 1185, 1185, 1185, 1187, 1187, 1187, 1187, 1187, 1187, 1348, 1349, 1349, 1720, 1720, 1720, 1747, 1747, 1747, 1747, 1747, 1747, 1747, 1747, 1748, 1748, 1748, 1748, 1748, 1749, 1749, 1749, 1749, 1749, 1749, 1750, 1750, 1750, 1750, 1750, 2176, 2183, 2319, 2319, 2319, 2319, 2319, 2319, 2319, 2423, 2423, 2423, 2423, 2423, 2423, 2423, 2424, 2424, 2424, 2425, 2425, 2425, 2425, 2426, 2426, 2426, 2426, 2426, 2426, 2427, 2427, 2451, 2451, 2452, 2452, 2452, 2452, 2452, 2452, 2452, 2452, 2452, 2455, 2455, 2455, 2455, 2722, 2722, 2722]"
19,"[138, 175, 274, 292, 361, 393, 404, 420, 462, 462, 462, 462, 666, 834, 858, 883, 883, 888, 1017, 1036, 1036, 1036, 1036, 1057, 1057, 1166, 1166, 1166, 1166, 1166, 1166, 1167, 1167, 1167, 1167, 1167, 1167, 1185, 1185, 1185, 1187, 1187, 1187, 1348, 1349, 1349, 1442, 1720, 1720, 1720, 1720, 1747, 1747, 1747, 1747, 1747, 1747, 1747, 1748, 1748, 1748, 1748, 1748, 1749, 1749, 1749, 1749, 1749, 1749, 1750, 1750, 1750, 1750, 1751, 2183, 2183, 2183, 2319, 2423, 2423, 2423, 2423, 2423, 2424, 2424, 2424, 2425, 2425, 2425, 2426, 2426, 2426, 2426, 2426, 2427, 2451, 2452, 2452, 2452, 2452, 2452, 2452, 2452, 2455, 2455, 2722, 2722]"
20,"[12, 12, 89, 138, 274, 292, 292, 361, 361, 379, 382, 393, 393, 404, 404, 462, 523, 585, 625, 666, 666, 701, 750, 834, 834, 858, 858, 882, 882, 882, 883, 888, 962, 1036, 1036, 1036, 1036, 1166, 1166, 1166, 1166, 1167, 1167, 1167, 1167, 1167, 1185, 1187, 1257, 1348, 1348, 1349, 1349, 1442, 1442, 1564, 1564, 1595, 1720, 1720, 1747, 1748, 1748, 1749, 1749, 1749, 1749, 1749, 1750, 1750, 1751, 1751, 1852, 1922, 1982, 1982, 1996, 2006, 2017, 2076, 2176, 2176, 2183, 2183, 2319, 2319, 2423, 2424, 2427, 2427, 2427, 2451, 2452, 2452, 2452, 2452, 2455, 2455, 2722]"
